Freq.	V(vo)
1.22155517224359e+002	(-8.47336051357048e-003dB,-2.53255858675924e+000°)
1.22436833134179e+002	(-8.51240389332827e-003dB,-2.53838472180383e+000°)
1.22718796895549e+002	(-8.55162704357650e-003dB,-2.54422423133271e+000°)
1.23001410000426e+002	(-8.59103079083204e-003dB,-2.55007714585134e+000°)
1.23284673944206e+002	(-8.63061596537456e-003dB,-2.55594349593337e+000°)
1.23568590225726e+002	(-8.67038340132212e-003dB,-2.56182331222083e+000°)
1.23853160347275e+002	(-8.71033393658222e-003dB,-2.56771662542424e+000°)
1.24138385814605e+002	(-8.75046841293114e-003dB,-2.57362346632276e+000°)
1.24424268136931e+002	(-8.79078767598243e-003dB,-2.57954386576437e+000°)
1.24710808826946e+002	(-8.83129257523736e-003dB,-2.58547785466596e+000°)
1.24998009400827e+002	(-8.87198396408513e-003dB,-2.59142546401350e+000°)
1.25285871378241e+002	(-8.91286269983314e-003dB,-2.59738672486219e+000°)
1.25574396282357e+002	(-8.95392964370821e-003dB,-2.60336166833659e+000°)
1.25863585639849e+002	(-8.99518566088290e-003dB,-2.60935032563079e+000°)
1.26153440980909e+002	(-9.03663162051443e-003dB,-2.61535272800850e+000°)
1.26443963839253e+002	(-9.07826839571887e-003dB,-2.62136890680328e+000°)
1.26735155752127e+002	(-9.12009686362553e-003dB,-2.62739889341862e+000°)
1.27027018260319e+002	(-9.16211790537044e-003dB,-2.63344271932808e+000°)
1.27319552908165e+002	(-9.20433240615075e-003dB,-2.63950041607550e+000°)
1.27612761243556e+002	(-9.24674125520278e-003dB,-2.64557201527508e+000°)
1.27906644817950e+002	(-9.28934534583323e-003dB,-2.65165754861157e+000°)
1.28201205186377e+002	(-9.33214557545036e-003dB,-2.65775704784039e+000°)
1.28496443907448e+002	(-9.37514284557782e-003dB,-2.66387054478780e+000°)
1.28792362543362e+002	(-9.41833806185590e-003dB,-2.66999807135102e+000°)
1.29088962659918e+002	(-9.46173213408724e-003dB,-2.67613965949840e+000°)
1.29386245826521e+002	(-9.50532597623133e-003dB,-2.68229534126956e+000°)
1.29684213616187e+002	(-9.54912050644631e-003dB,-2.68846514877553e+000°)
1.29982867605558e+002	(-9.59311664708452e-003dB,-2.69464911419893e+000°)
