time	V(vo)
7.575550000008364e-005	7.162582e-001
7.677950000008588e-005	7.216406e-001
7.780350000008813e-005	7.269210e-001
7.882750000009037e-005	7.321011e-001
7.985150000009262e-005	7.371830e-001
8.087550000009486e-005	7.421685e-001
8.189950000009711e-005	7.470595e-001
8.292350000009935e-005	7.518576e-001
8.394750000010160e-005	7.565648e-001
8.497150000010384e-005	7.611826e-001
8.599550000010609e-005	7.657129e-001
8.701950000010834e-005	7.701572e-001
8.804350000011058e-005	7.745172e-001
8.906750000011283e-005	7.787945e-001
9.009150000011507e-005	7.829906e-001
9.111550000011732e-005	7.871072e-001
9.213950000011956e-005	7.911456e-001
9.316350000012181e-005	7.951075e-001
9.418750000012405e-005	7.989942e-001
9.521150000012630e-005	8.028072e-001
9.623550000012854e-005	8.065478e-001
9.725950000013079e-005	8.102175e-001
9.828350000013303e-005	8.138176e-001
9.930750000013528e-005	8.173494e-001
1.003315000001375e-004	8.208142e-001
1.013555000001398e-004	8.242132e-001
1.023795000001420e-004	8.275478e-001
1.034035000001443e-004	8.308191e-001
1.044275000001465e-004	8.340284e-001
1.054515000001488e-004	8.371768e-001
1.064755000001510e-004	8.402655e-001
1.074995000001532e-004	8.432956e-001
1.085235000001555e-004	8.462682e-001
1.095475000001577e-004	8.491844e-001
1.105715000001600e-004	8.520453e-001
1.115955000001622e-004	8.548519e-001
1.126195000001645e-004	8.576053e-001
1.136435000001667e-004	8.603064e-001
1.146675000001690e-004	8.629563e-001
1.156915000001712e-004	8.655560e-001
1.167155000001735e-004	8.681063e-001
1.177395000001757e-004	8.706083e-001
1.187635000001779e-004	8.730628e-001
1.197875000001802e-004	8.754707e-001
1.208115000001824e-004	8.778329e-001
1.218355000001847e-004	8.801504e-001
1.228595000001762e-004	8.824239e-001
1.238835000001646e-004	8.846543e-001
1.249075000001530e-004	8.868423e-001
1.259315000001413e-004	8.889889e-001
1.269555000001297e-004	8.910947e-001
1.279795000001181e-004	8.931605e-001
1.290035000001064e-004	8.951873e-001
1.300275000000948e-004	8.971755e-001
1.310515000000832e-004	8.991260e-001
1.320755000000715e-004	9.010395e-001
1.330995000000599e-004	9.029168e-001
1.341235000000483e-004	9.047584e-001
1.351475000000366e-004	9.065651e-001
1.361715000000250e-004	9.083375e-001
1.371955000000134e-004	9.100763e-001
1.382195000000017e-004	9.117821e-001
1.392434999999901e-004	9.134555e-001
1.402674999999785e-004	9.150972e-001
1.412914999999668e-004	9.167078e-001
1.423154999999552e-004	9.182878e-001
1.433394999999436e-004	9.198378e-001
1.443634999999320e-004	9.213585e-001
1.453874999999203e-004	9.228503e-001
1.464114999999087e-004	9.243137e-001
1.474354999998971e-004	9.257495e-001
1.484594999998854e-004	9.271580e-001
1.494834999998738e-004	9.285398e-001
1.505074999998622e-004	9.298953e-001
1.515314999998505e-004	9.312252e-001
1.525554999998389e-004	9.325298e-001
1.535794999998273e-004	9.338096e-001
1.546034999998156e-004	9.350653e-001
1.556274999998040e-004	9.362971e-001
1.566514999997924e-004	9.375054e-001
1.576754999997807e-004	9.386910e-001
1.586994999997691e-004	9.398540e-001
1.597234999997575e-004	9.409949e-001
1.607474999997458e-004	9.421142e-001
1.617714999997342e-004	9.432122e-001
1.627954999997226e-004	9.442894e-001
1.638194999997109e-004	9.453463e-001
1.648434999996993e-004	9.463830e-001
1.658674999996877e-004	9.474001e-001
1.668914999996760e-004	9.483979e-001
1.679154999996644e-004	9.493768e-001
1.689394999996528e-004	9.503371e-001
1.699634999996411e-004	9.512792e-001
1.709874999996295e-004	9.522033e-001
1.720114999996179e-004	9.531100e-001
1.730354999996062e-004	9.539995e-001
1.740594999995946e-004	9.548721e-001
1.750834999995830e-004	9.557282e-001
1.761074999995713e-004	9.565680e-001
1.771314999995597e-004	9.573919e-001
1.781554999995481e-004	9.582001e-001
1.791794999995364e-004	9.589930e-001
1.802034999995248e-004	9.597709e-001
1.812274999995132e-004	9.605340e-001
1.822514999995016e-004	9.612827e-001
1.832754999994899e-004	9.620171e-001
1.842994999994783e-004	9.627377e-001
1.853234999994667e-004	9.634445e-001
1.863474999994550e-004	9.641380e-001
1.873714999994434e-004	9.648182e-001
1.883954999994318e-004	9.654856e-001
1.894194999994201e-004	9.661403e-001
1.904434999994085e-004	9.667826e-001
1.914674999993969e-004	9.674128e-001
1.924914999993852e-004	9.680309e-001
1.935154999993736e-004	9.686373e-001
1.945394999993620e-004	9.692323e-001
1.955634999993503e-004	9.698159e-001
1.965874999993387e-004	9.703885e-001
1.976114999993271e-004	9.709502e-001
1.986354999993154e-004	9.715013e-001
1.996594999993038e-004	9.720419e-001
2.006834999992922e-004	9.725722e-001
2.017074999992805e-004	9.730925e-001
2.027314999992689e-004	9.736030e-001
2.037554999992573e-004	9.741037e-001
2.047794999992456e-004	9.745950e-001
2.058034999992340e-004	9.750769e-001
2.068274999992224e-004	9.755496e-001
2.078514999992107e-004	9.760134e-001
2.088754999991991e-004	9.764684e-001
2.098994999991875e-004	9.769148e-001
2.109234999991758e-004	9.773527e-001
2.119474999991642e-004	9.777824e-001
2.129714999991526e-004	9.782038e-001
2.139954999991409e-004	9.786173e-001
2.150194999991293e-004	9.790229e-001
2.160434999991177e-004	9.794208e-001
2.170674999991060e-004	9.798112e-001
2.180914999990944e-004	9.801942e-001
2.191154999990828e-004	9.805698e-001
2.201394999990712e-004	9.809384e-001
2.211634999990595e-004	9.813001e-001
2.221874999990479e-004	9.816548e-001
2.232114999990363e-004	9.820027e-001
2.242354999990246e-004	9.823442e-001
2.252594999990130e-004	9.826791e-001
2.262834999990014e-004	9.830077e-001
2.273074999989897e-004	9.833300e-001
2.283314999989781e-004	9.836462e-001
2.293554999989665e-004	9.839565e-001
2.303794999989548e-004	9.842608e-001
2.314034999989432e-004	9.845594e-001
2.324274999989316e-004	9.848523e-001
2.334514999989199e-004	9.851396e-001
2.344754999989083e-004	9.854215e-001
2.354994999988967e-004	9.856980e-001
2.365234999988850e-004	9.859693e-001
2.375474999988734e-004	9.862355e-001
2.385714999988618e-004	9.864966e-001
2.395954999988501e-004	9.867527e-001
2.406194999988385e-004	9.870040e-001
2.416434999988269e-004	9.872506e-001
2.426674999988152e-004	9.874924e-001
2.436914999988036e-004	9.877297e-001
2.447154999988076e-004	9.879624e-001
2.457394999988237e-004	9.881908e-001
2.467634999988398e-004	9.884148e-001
2.477874999988559e-004	9.886346e-001
2.488114999988720e-004	9.888502e-001
2.498354999988882e-004	9.890617e-001
2.508594999989043e-004	9.892691e-001
2.518834999989204e-004	9.894727e-001
2.529074999989365e-004	9.896724e-001
2.539314999989527e-004	9.898683e-001
2.549554999989688e-004	9.900605e-001
2.559794999989849e-004	9.902490e-001
2.570034999990010e-004	9.904341e-001
2.580274999990172e-004	9.906155e-001
2.590514999990333e-004	9.907935e-001
2.600754999990494e-004	9.909682e-001
2.610994999990655e-004	9.911395e-001
2.621234999990817e-004	9.913076e-001
2.631474999990978e-004	9.914725e-001
2.641714999991139e-004	9.916342e-001
2.651954999991300e-004	9.917929e-001
2.662194999991461e-004	9.919486e-001
2.672434999991623e-004	9.921013e-001
2.682674999991784e-004	9.922512e-001
2.692914999991945e-004	9.923981e-001
2.703154999992106e-004	9.925423e-001
2.713394999992268e-004	9.926838e-001
2.723634999992429e-004	9.928226e-001
2.733874999992590e-004	9.929588e-001
2.744114999992751e-004	9.930923e-001
2.754354999992913e-004	9.932234e-001
2.764594999993074e-004	9.933519e-001
2.774834999993235e-004	9.934780e-001
2.785074999993396e-004	9.936017e-001
2.795314999993557e-004	9.937231e-001
2.805554999993719e-004	9.938422e-001
2.815794999993880e-004	9.939590e-001
2.826034999994041e-004	9.940736e-001
2.836274999994202e-004	9.941860e-001
2.846514999994364e-004	9.942963e-001
2.856754999994525e-004	9.944045e-001
2.866994999994686e-004	9.945107e-001
2.877234999994847e-004	9.946148e-001
2.887474999995009e-004	9.947169e-001
2.897714999995170e-004	9.948171e-001
2.907954999995331e-004	9.949154e-001
2.918194999995492e-004	9.950119e-001
2.928434999995653e-004	9.951065e-001
2.938674999995815e-004	9.951994e-001
2.948914999995976e-004	9.952904e-001
2.959154999996137e-004	9.953797e-001
2.969394999996298e-004	9.954674e-001
2.979634999996460e-004	9.955534e-001
2.989874999996621e-004	9.956377e-001
3.000114999996782e-004	9.957205e-001
3.010354999996943e-004	9.958017e-001
3.020594999997105e-004	9.958813e-001
3.030834999997266e-004	9.959595e-001
