time	V(vo)
1.314292552689442e-005	1.333787e-001
1.328906838403735e-005	1.344263e-001
1.329006838403735e-005	1.344335e-001
1.343621124118028e-005	1.355263e-001
1.358235409832321e-005	1.366587e-001
1.372849695546614e-005	1.378308e-001
1.387463981260907e-005	1.390424e-001
1.402078266975200e-005	1.402937e-001
1.416692552689493e-005	1.415846e-001
1.431306838403786e-005	1.429152e-001
1.431406838403786e-005	1.429244e-001
1.446021124118077e-005	1.442881e-001
1.460635409832368e-005	1.456808e-001
1.475249695546659e-005	1.471024e-001
1.489863981260951e-005	1.485530e-001
1.504478266975242e-005	1.500326e-001
1.519092552689533e-005	1.515411e-001
1.533706838403824e-005	1.530785e-001
1.533806838403824e-005	1.530891e-001
1.548421124118092e-005	1.546506e-001
1.563035409832360e-005	1.562328e-001
1.577649695546628e-005	1.578359e-001
1.592263981260897e-005	1.594598e-001
1.606878266975165e-005	1.611044e-001
1.621492552689433e-005	1.627698e-001
1.636106838403701e-005	1.644561e-001
1.636206838403701e-005	1.644676e-001
1.650821124117970e-005	1.661709e-001
1.665435409832238e-005	1.678887e-001
1.680049695546506e-005	1.696211e-001
1.694663981260774e-005	1.713681e-001
1.709278266975043e-005	1.731296e-001
1.723892552689311e-005	1.749057e-001
1.738506838403579e-005	1.766964e-001
1.738606838403579e-005	1.767087e-001
1.753221124117847e-005	1.785111e-001
1.767835409832115e-005	1.803232e-001
1.782449695546384e-005	1.821452e-001
1.797063981260652e-005	1.839771e-001
1.811678266974920e-005	1.858187e-001
1.826292552689188e-005	1.876702e-001
1.840906838403457e-005	1.895315e-001
1.841006838403457e-005	1.895443e-001
1.855621124117725e-005	1.914132e-001
1.870235409831993e-005	1.932883e-001
1.884849695546261e-005	1.951697e-001
1.899463981260530e-005	1.970573e-001
1.914078266974798e-005	1.989510e-001
1.928692552689066e-005	2.008510e-001
1.943306838403334e-005	2.027572e-001
1.943406838403334e-005	2.027703e-001
1.958021124117602e-005	2.046810e-001
1.972635409831870e-005	2.065952e-001
1.987249695546139e-005	2.085129e-001
2.001863981260407e-005	2.104340e-001
2.016478266974675e-005	2.123587e-001
2.031092552688944e-005	2.142867e-001
2.045706838403212e-005	2.162183e-001
2.045806838403212e-005	2.162315e-001
2.148206838403089e-005	2.298102e-001
2.250606838402967e-005	2.434174e-001
2.353006838402844e-005	2.569860e-001
2.455406838402722e-005	2.704657e-001
2.557806838402600e-005	2.838191e-001
2.660206838402477e-005	2.970186e-001
2.762606838402355e-005	3.100442e-001
2.865006838402232e-005	3.228816e-001
2.967406838402110e-005	3.355209e-001
3.069806838402049e-005	3.479554e-001
3.172206838402273e-005	3.601812e-001
3.274606838402498e-005	3.721960e-001
3.377006838402723e-005	3.839992e-001
3.479406838402947e-005	3.955912e-001
3.581806838403172e-005	4.069734e-001
3.684206838403396e-005	4.181475e-001
3.786606838403621e-005	4.291160e-001
3.889006838403845e-005	4.398813e-001
3.991406838404070e-005	4.504465e-001
4.093806838404294e-005	4.608146e-001
4.196206838404519e-005	4.709888e-001
4.298606838404743e-005	4.809722e-001
4.401006838404968e-005	4.907682e-001
4.503406838405192e-005	5.003801e-001
4.605806838405417e-005	5.098112e-001
4.708206838405641e-005	5.190646e-001
4.810606838405866e-005	5.281437e-001
4.913006838406091e-005	5.370517e-001
5.015406838406315e-005	5.457917e-001
5.117806838406540e-005	5.543669e-001
5.220206838406764e-005	5.627803e-001
5.322606838406989e-005	5.710348e-001
5.425006838407213e-005	5.791337e-001
5.527406838407438e-005	5.870797e-001
5.629806838407662e-005	5.948757e-001
5.732206838407887e-005	6.025246e-001
5.834606838408111e-005	6.100290e-001
5.937006838408336e-005	6.173918e-001
6.039406838408560e-005	6.246156e-001
6.141806838408785e-005	6.317031e-001
6.244206838409009e-005	6.386567e-001
6.346606838409234e-005	6.454790e-001
6.449006838409459e-005	6.521725e-001
6.551406838409683e-005	6.587397e-001
6.653806838409908e-005	6.651828e-001
6.756206838410132e-005	6.715044e-001
6.858606838410357e-005	6.777065e-001
6.961006838410581e-005	6.837916e-001
7.063406838410806e-005	6.897618e-001
7.165806838411030e-005	6.956192e-001
7.268206838411255e-005	7.013661e-001
7.370606838411479e-005	7.070045e-001
7.473006838411704e-005	7.125364e-001
7.575406838411928e-005	7.179639e-001
7.677806838412153e-005	7.232888e-001
7.780206838412377e-005	7.285133e-001
7.882606838412602e-005	7.336391e-001
7.985006838412827e-005	7.386681e-001
8.087406838413051e-005	7.436023e-001
8.189806838413276e-005	7.484432e-001
8.292206838413500e-005	7.531927e-001
8.394606838413725e-005	7.578526e-001
8.497006838413949e-005	7.624244e-001
8.599406838414174e-005	7.669100e-001
8.701806838414398e-005	7.713109e-001
8.804206838414623e-005	7.756286e-001
8.906606838414847e-005	7.798649e-001
9.009006838415072e-005	7.840211e-001
9.111406838415296e-005	7.880989e-001
9.213806838415521e-005	7.920998e-001
9.316206838415745e-005	7.960250e-001
9.418606838415970e-005	7.998762e-001
9.521006838416195e-005	8.036546e-001
9.623406838416419e-005	8.073617e-001
9.725806838416644e-005	8.109989e-001
9.828206838416868e-005	8.145673e-001
9.930606838417093e-005	8.180683e-001
1.003300683841732e-004	8.215033e-001
1.013540683841754e-004	8.248734e-001
1.023780683841777e-004	8.281799e-001
1.034020683841799e-004	8.314240e-001
1.044260683841822e-004	8.346068e-001
1.054500683841844e-004	8.377295e-001
1.064740683841866e-004	8.407933e-001
1.074980683841889e-004	8.437992e-001
1.085220683841911e-004	8.467483e-001
1.095460683841934e-004	8.496418e-001
1.105700683841956e-004	8.524806e-001
1.115940683841979e-004	8.552659e-001
1.126180683842001e-004	8.579985e-001
1.136420683842024e-004	8.606796e-001
1.146660683842046e-004	8.633100e-001
1.156900683842069e-004	8.658908e-001
1.167140683842091e-004	8.684229e-001
1.177380683842113e-004	8.709071e-001
1.187620683842136e-004	8.733445e-001
1.197860683842158e-004	8.757358e-001
1.208100683842181e-004	8.780820e-001
1.218340683842203e-004	8.803838e-001
1.228580683842119e-004	8.826423e-001
1.238820683842003e-004	8.848580e-001
1.249060683841886e-004	8.870320e-001
1.259300683841770e-004	8.891649e-001
1.269540683841654e-004	8.912575e-001
1.279780683841537e-004	8.933106e-001
1.290020683841421e-004	8.953249e-001
1.300260683841305e-004	8.973013e-001
1.310500683841188e-004	8.992403e-001
1.320740683841072e-004	9.011427e-001
1.330980683840956e-004	9.030092e-001
1.341220683840839e-004	9.048404e-001
1.351460683840723e-004	9.066371e-001
1.361700683840607e-004	9.083998e-001
1.371940683840490e-004	9.101292e-001
1.382180683840374e-004	9.118261e-001
1.392420683840258e-004	9.134908e-001
1.402660683840141e-004	9.151242e-001
1.412900683840025e-004	9.167267e-001
1.423140683839909e-004	9.182990e-001
1.433380683839792e-004	9.198415e-001
1.443620683839676e-004	9.213549e-001
1.453860683839560e-004	9.228398e-001
1.464100683839443e-004	9.242966e-001
1.474340683839327e-004	9.257259e-001
1.484580683839211e-004	9.271283e-001
1.494820683839095e-004	9.285041e-001
1.505060683838978e-004	9.298540e-001
1.515300683838862e-004	9.311784e-001
1.525540683838746e-004	9.324778e-001
1.535780683838629e-004	9.337527e-001
1.546020683838513e-004	9.350035e-001
1.556260683838397e-004	9.362306e-001
1.566500683838280e-004	9.374346e-001
1.576740683838164e-004	9.386159e-001
1.586980683838048e-004	9.397749e-001
1.597220683837931e-004	9.409119e-001
1.607460683837815e-004	9.420276e-001
1.617700683837699e-004	9.431221e-001
1.627940683837582e-004	9.441960e-001
1.638180683837466e-004	9.452496e-001
1.648420683837350e-004	9.462833e-001
1.658660683837233e-004	9.472975e-001
1.668900683837117e-004	9.482926e-001
1.679140683837001e-004	9.492688e-001
1.689380683836884e-004	9.502267e-001
1.699620683836768e-004	9.511664e-001
1.709860683836652e-004	9.520884e-001
1.720100683836535e-004	9.529930e-001
1.730340683836419e-004	9.538805e-001
1.740580683836303e-004	9.547513e-001
1.750820683836186e-004	9.556056e-001
1.761060683836070e-004	9.564438e-001
1.771300683835954e-004	9.572662e-001
1.781540683835837e-004	9.580730e-001
1.791780683835721e-004	9.588646e-001
1.802020683835605e-004	9.596413e-001
1.812260683835488e-004	9.604033e-001
1.822500683835372e-004	9.611509e-001
1.832740683835256e-004	9.618843e-001
1.842980683835139e-004	9.626040e-001
1.853220683835023e-004	9.633101e-001
1.863460683834907e-004	9.640028e-001
1.873700683834791e-004	9.646824e-001
1.883940683834674e-004	9.653493e-001
1.894180683834558e-004	9.660035e-001
1.904420683834442e-004	9.666454e-001
1.914660683834325e-004	9.672751e-001
1.924900683834209e-004	9.678929e-001
1.935140683834093e-004	9.684991e-001
1.945380683833976e-004	9.690939e-001
1.955620683833860e-004	9.696774e-001
1.965860683833744e-004	9.702500e-001
1.976100683833627e-004	9.708116e-001
1.986340683833511e-004	9.713627e-001
1.996580683833395e-004	9.719034e-001
2.006820683833278e-004	9.724339e-001
2.017060683833162e-004	9.729543e-001
2.027300683833046e-004	9.734650e-001
2.037540683832929e-004	9.739660e-001
2.047780683832813e-004	9.744575e-001
2.058020683832697e-004	9.749398e-001
2.068260683832580e-004	9.754129e-001
2.078500683832464e-004	9.758772e-001
