Freq.	V(vout)
1.16412602941049e+002	(3.94385628308088e+000dB,-1.34989853917287e-002°)
1.16680961706096e+002	(3.94385628257772e+000dB,-1.35301037666607e-002°)
1.16949939101987e+002	(3.94385628207224e+000dB,-1.35612938768541e-002°)
1.17219536554813e+002	(3.94385628156443e+000dB,-1.35925558876758e-002°)
1.17489755493952e+002	(3.94385628105426e+000dB,-1.36238899648737e-002°)
1.17760597352080e+002	(3.94385628054176e+000dB,-1.36552962745780e-002°)
1.18032063565172e+002	(3.94385628002688e+000dB,-1.36867749833019e-002°)
1.18304155572516e+002	(3.94385627950962e+000dB,-1.37183262579424e-002°)
1.18576874816716e+002	(3.94385627898998e+000dB,-1.37499502657811e-002°)
1.18850222743701e+002	(3.94385627846794e+000dB,-1.37816471744852e-002°)
1.19124200802737e+002	(3.94385627794348e+000dB,-1.38134171521088e-002°)
1.19398810446427e+002	(3.94385627741661e+000dB,-1.38452603670930e-002°)
1.19674053130724e+002	(3.94385627688731e+000dB,-1.38771769882673e-002°)
1.19949930314937e+002	(3.94385627635556e+000dB,-1.39091671848507e-002°)
1.20226443461741e+002	(3.94385627582136e+000dB,-1.39412311264517e-002°)
1.20503594037179e+002	(3.94385627528469e+000dB,-1.39733689830702e-002°)
1.20781383510677e+002	(3.94385627474555e+000dB,-1.40055809250981e-002°)
1.21059813355048e+002	(3.94385627420392e+000dB,-1.40378671233196e-002°)
1.21338885046497e+002	(3.94385627365979e+000dB,-1.40702277489131e-002°)
1.21618600064636e+002	(3.94385627311314e+000dB,-1.41026629734513e-002°)
1.21898959892486e+002	(3.94385627256397e+000dB,-1.41351729689026e-002°)
1.22179966016487e+002	(3.94385627201227e+000dB,-1.41677579076317e-002°)
1.22461619926504e+002	(3.94385627145802e+000dB,-1.42004179624007e-002°)
1.22743923115840e+002	(3.94385627090121e+000dB,-1.42331533063699e-002°)
1.23026877081238e+002	(3.94385627034183e+000dB,-1.42659641130988e-002°)
1.23310483322890e+002	(3.94385626977987e+000dB,-1.42988505565471e-002°)
1.23594743344450e+002	(3.94385626921532e+000dB,-1.43318128110754e-002°)
1.23879658653036e+002	(3.94385626864816e+000dB,-1.43648510514463e-002°)
1.24165230759240e+002	(3.94385626807839e+000dB,-1.43979654528252e-002°)
1.24451461177138e+002	(3.94385626750598e+000dB,-1.44311561907814e-002°)
1.24738351424294e+002	(3.94385626693093e+000dB,-1.44644234412888e-002°)
1.25025903021771e+002	(3.94385626635322e+000dB,-1.44977673807271e-002°)
1.25314117494141e+002	(3.94385626577285e+000dB,-1.45311881858824e-002°)
1.25602996369487e+002	(3.94385626518981e+000dB,-1.45646860339487e-002°)
1.25892541179416e+002	(3.94385626460407e+000dB,-1.45982611025280e-002°)
